zcta20,year,pop,pop_under_18,pop_wht,pop_wht_f20to44,pop_wht_65andover,pop_settled,commuting_pop_drivealone2work,commuting_pop_pubtrans2work,commuting_pop_subway2work,commuting_pop_bikenwalk2work,commuting_pop_athome2work,commuting_pop_bf6am2work,commuting_pop_10amto4pm2work,commuting_pop_af4pm2work,commuting_pop_under20min_drivealone,commuting_pop_above45min_drivealonw,household_ttl,family_ttl,income_median_household,income_median_family,median_earnings,median_earnings_drive_alone,median_earnings_carpooled,median_earnings_pbltrans,median_earnings_walk,median_earnings_bikenothers,median_earnings_work_from_home,houseunit_occupby_owner,edu_bchlor_pop,edu_mst_pop,edu_dr_pop,insurance_pop,pop_20to64_worknotfultime,pop_20to64_workfultime,pop_65nover_work,pop_with_retireincome,job_pop_nonprofit,job_pop_government,job_pop_selfemploy,job_pop_unpaidinfamily,houseunit_median_value,houseunit_median_rent,houseunit_ttl,houseunit_detached,houseunit_attached_1to4,houseunit_attached_50nmore,houseunit_builtyr,houseunit_energy_electr,houseunit_energy_solar,veh_household_with_2nmore,veh_ttl,veh_commuting,veh_commuting_feml,household_1p,household_2p,household_3p,household_4pnmore,commuting_pop_citylive,commuting_pop_citynolive,family_1work,family_bothwork,family_withkid,family_withnokid,buff3_L2_chargers,buff3_DCFC_chargers,buff3_evcs_median_operated_months,buff3_evcs_open_this_yr,buff10_L2_chargers,buff10_DCFC_chargers,buff10_evcs_median_operated_months,buff10_evcs_open_this_yr,buff15_L2_chargers,buff15_DCFC_chargers,buff15_evcs_median_operated_months,buff15_evcs_open_this_yr,buff30_L2_chargers,buff30_DCFC_chargers,buff30_evcs_median_operated_months,buff30_evcs_open_this_yr,buff70_L2_chargers,buff70_DCFC_chargers,buff70_evcs_median_operated_months,buff70_evcs_open_this_yr,buff150_L2_chargers,buff150_DCFC_chargers,buff150_evcs_median_operated_months,buff150_evcs_open_this_yr,buff300_L2_chargers,buff300_DCFC_chargers,buff300_evcs_median_operated_months,buff300_evcs_open_this_yr,traffic_cluster3,buff1000_subway_stops,buff1000_nonsubway_stops,buff3500_subway_stops,buff3500_nonsubway_stops,mean_min_temprature,job_offer_ttl,job_occupation_ttl,job_sdi_offer,job_sdi_occupation,centroid_pop_longitude,centroid_pop_latitude,area,area_length_water,pop_density,houseunit_density,houseunit_detached2four,houseunit_detached2four_density,houseunit_attached_50nmore_density,income2housevalue,PHEV_next2yr,BEV_next2yr
6390,2022,53,6,33,15,0,45,8,0,0,18,9,9,0,0,30,0,19,13,47708.0,46250.0,15000,35000,10000,1,1,1,15000,9,4,0,0,44,22,17,0,0,0,6,4,0,1587500.0,938.0,253,237,12,0,1960.0,0,0,0,19,0.0,0.0,6,9,0,4,0,39,0,13,4,9,0.0,0.0,0,0,10.0,0.0,75,0,36.0,22.0,74,6,97.0,43.0,64,9,384.0,109.0,59,34,4054.0,779.0,16,861,10071.0,1926.0,18,1784,2,0,0,0,0,7.72891514117901,255,159,2.158065469517809,2.621386381850055,750264.2273000004,4572882.580499999,10921916.280669866,29958252.0,4.85262829690445e-06,2.3164433190883508e-05,249,2.279819709300393e-05,0.0,0.0300522834645669,0.0,0.0
10001,2022,27004,2694,15428,3994,2315,21154,728,7186,6099,4664,3358,420,1453,451,3216,171,14375,4052,106509.0,162877.0,75000,75000,35000,75000,75000,75000,75000,3422,8911,4344,561,26623,3917,12803,953,1575,1683,1148,1269,0,535100.0,2455.0,16975,155,476,12524,1969.0,6763,186,300,2529,780.0,405.0,8274,4003,1277,821,16544,0,679,1729,806,1602,703.0,4.0,65,44,2151.0,129.0,53,136,2571.0,197.0,45,175,3314.0,393.0,30,286,2749.0,703.0,33,253,4404.0,1324.0,28,517,10180.0,2380.0,20,1620,0,33,113,234,1017,9.397299766540527,197819,14120,2.403440122541189,2.582515302252658,584709.6815,4511380.4717,1614685.3038250543,0.0,0.0167240018448361,0.0105128844362351,631,0.000390788222637,0.0077563101431168,0.1990450383105961,0.0,0.0
10002,2022,76518,10028,23951,5186,4362,69272,1983,15745,13032,9383,4732,1267,3563,1097,5982,696,36028,17022,43362.0,46207.0,50000,65000,35000,50000,25000,50000,75000,6224,16087,5440,616,74229,13098,22674,1518,4971,2792,3676,2505,91,784800.0,1061.0,39094,281,809,20746,1952.0,18811,0,747,7220,2305.0,730.0,16146,11737,4543,3602,33537,0,1833,3483,2148,3168,533.0,18.0,62,15,2152.0,111.0,52,153,2486.0,175.0,47,165,3236.0,410.0,31,271,2745.0,701.0,33,253,4406.0,1315.0,28,521,10037.0,2374.0,20,1588,0,18,109,264,1041,9.301300048828123,23027,29442,2.319951968664554,2.582415897322412,585433.5718,4507642.2457,2128380.4307263563,0.0,0.0359512796186941,0.0183679568913619,1090,0.0005121264902947,0.0097473175850052,0.0552522935779816,0.0,0.0
10003,2022,53877,3866,36515,8611,6732,37120,1170,11814,10691,9769,7671,707,3118,1206,9005,496,24987,6718,152863.0,219957.0,75000,75000,75000,75000,65000,75000,75000,8927,16265,7846,2375,52932,8380,21288,3227,3913,4461,1754,2085,74,1111000.0,2602.0,30766,469,1064,14702,0.0,7289,0,510,5653,1320.0,660.0,13298,8143,2237,1309,31849,0,1300,3560,1853,3007,575.0,18.0,66,22,2161.0,127.0,53,139,2545.0,191.0,45,169,3293.0,397.0,30,282,2744.0,701.0,33,253,4398.0,1316.0,28,517,10132.0,2374.0,20,1614,0,39,148,267,1091,9.397299766540527,70229,23638,2.611726748153255,2.553694304748304,585398.8728999998,4509473.001800001,1479521.7590339556,0.0,0.0364151454150824,0.0207945573034954,1533,0.0010361456265441,0.0099369947824218,0.1375904590459045,0.0,0.0
10004,2022,4579,840,2653,400,188,3468,77,1262,1238,996,749,99,160,71,783,43,2123,1006,232543.0,247237.0,75000,35000,75000,75000,75000,75000,75000,893,1588,838,128,4575,371,2681,160,50,210,321,213,42,1792200.0,3321.0,2706,10,95,2486,1948.0,1384,0,106,723,0.0,0.0,795,673,397,258,3126,0,312,633,528,417,283.0,20.0,58,8,1997.0,107.0,53,141,2511.0,196.0,45,180,3261.0,373.0,33,270,2743.0,692.0,33,256,4401.0,1315.0,28,523,9965.0,2355.0,21,1570,0,48,97,177,555,9.301300048828123,66092,2779,2.288885429817013,2.545007562170501,583136.3964999998,4506541.51,1162482.0441672704,0.0,0.0039389855722718,0.0023277778900562,105,9.032397577823704e-05,0.0021385276550923,0.1297528177658743,0.0,0.0
10005,2022,8801,924,6233,2653,92,5860,116,3921,3647,1716,1193,88,367,213,1779,2,4881,1272,189886.0,241094.0,75000,65000,1,75000,75000,75000,75000,814,3870,1243,181,8759,1572,5774,114,122,382,564,105,0,1750000.0,3394.0,6272,126,63,5819,0.0,3442,0,80,458,0.0,0.0,2553,1523,469,336,7132,0,169,873,412,630,309.0,14.0,58,7,2029.0,110.0,53,143,2487.0,196.0,45,167,3244.0,381.0,33,271,2744.0,692.0,33,256,4400.0,1315.0,28,523,9966.0,2361.0,21,1572,0,63,126,180,648,9.301300048828123,42594,5152,1.967553456535707,2.447712758624039,583686.8346999995,4506585.9823,188606.34126545768,0.0,0.0466633303045355,0.0332544492296383,189,0.0010020871977681,0.030852621184194,0.1085062857142857,0.0,0.0
10006,2022,3736,319,2550,787,91,2512,94,1393,1151,531,494,57,142,12,703,94,2046,808,204574.0,236742.0,75000,75000,50000,75000,75000,75000,75000,363,1168,611,81,3583,683,2243,71,21,154,160,7,0,1066700.0,3310.0,2422,0,92,2184,0.0,1198,0,71,475,0.0,0.0,939,866,170,71,2564,0,66,501,187,380,295.0,22.0,56,11,2012.0,107.0,53,142,2515.0,196.0,45,180,3273.0,376.0,32,273,2743.0,692.0,33,256,4398.0,1315.0,28,522,9962.0,2361.0,21,1572,0,60,131,177,578,9.301300048828123,30450,2194,2.096078838665535,2.446758005285853,583209.9545999998,4506803.4703,250476.2972109936,0.0,0.0149155829976714,0.009669577628576,92,0.0003673002237113,0.0087193879194096,0.191782131808381,0.0,0.0
10007,2022,7506,1534,5471,1320,502,5276,80,1954,1915,1136,1024,33,374,0,887,64,3084,1612,224063.0,224063.0,75000,75000,75000,75000,75000,75000,75000,1053,2851,1502,64,6991,1183,3226,383,182,254,183,398,0,0.0,3276.0,3702,16,114,2872,1987.0,1611,0,158,1125,150.0,65.0,1094,922,341,727,4433,0,579,783,742,620,349.0,42.0,64,11,2114.0,110.0,52,147,2489.0,168.0,45,166,3260.0,382.0,31,278,2747.0,692.0,33,254,4402.0,1315.0,28,521,9983.0,2361.0,21,1575,0,75,140,213,684,9.301300048828123,62937,3615,1.855542243008975,2.492645784983602,583682.3114,4507522.3368,413870.4926133121,0.0,0.0181361081158617,0.0089448271043059,130,0.0003141079210048,0.0069393688394291,0.0,0.0,0.0
10009,2022,58418,6144,32738,8370,4530,49980,1513,14131,11211,7287,6446,1435,3310,1414,4594,628,29670,10366,83344.0,87197.0,75000,75000,35000,75000,65000,75000,75000,2835,17467,8890,1520,57848,8006,23934,1936,4353,3693,3235,2148,0,714100.0,1786.0,32019,230,812,15664,1946.0,9132,57,948,7458,1555.0,710.0,14274,9023,4305,2068,30698,0,996,3247,1886,2357,521.0,14.0,65,18,2186.0,137.0,52,150,2528.0,179.0,46,167,3275.0,391.0,30,279,2746.0,701.0,33,253,4387.0,1316.0,28,517,10128.0,2374.0,20,1614,0,9,93,267,1183,9.462366739908854,7213,23934,2.365262183613198,2.611247289142212,586228.352,4508851.069,1596315.7894584138,0.0,0.0365955159911182,0.0200580613256122,1042,0.0006527530497919,0.0098125947907302,0.1167119451057275,0.0,0.0
10010,2022,32410,4414,21682,4950,4547,25211,903,6574,5346,5349,4794,268,1162,658,3911,553,16050,6619,150288.0,217464.0,75000,75000,50000,75000,75000,75000,75000,4628,10152,5233,939,31858,3690,14061,1794,3288,2128,1868,1299,0,1093900.0,2792.0,18966,694,366,13646,1955.0,5555,0,539,5391,935.0,450.0,7768,5467,1332,1483,18655,0,971,2988,1655,2304,732.0,18.0,65,32,2174.0,127.0,53,138,2561.0,191.0,46,169,3303.0,398.0,30,283,2742.0,702.0,33,253,4406.0,1324.0,28,517,10218.0,2382.0,19,1636,0,30,167,264,1222,9.397299766540527,64692,13820,2.414141859927762,2.53944142216883,585971.5542000001,4510248.527000001,950444.6502648522,0.0,0.0340998289495012,0.0199548705910595,1060,0.0011152674694992,0.0143574904611198,0.1373873297376359,0.0,0.0
